"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Žatec,Ústecký kraj,CZ,50.3126133,13.5326373,33,2270.96,68.82
Ústí nad Labem,Ústecký kraj,CZ,50.6653232,14.0215638,28,1128.9,40.32
Čížkovice,Ústecký kraj,CZ,50.4814792,14.0430046,18,809.98,45.0
Teplice,Ústecký kraj,CZ,50.6343166,13.8422546,64,2943.41,45.99
Klášterec nad Ohří,Ústecký kraj,CZ,50.3848116,13.171445,21,659.54,31.41
Děčín,Ústecký kraj,CZ,50.7753865,14.2342709,51,2203.36,43.2
Chomutov,Ústecký kraj,CZ,50.4646282,13.4018773,24,809.3,33.72
Most,Ústecký kraj,CZ,50.4975126,13.6480373,78,2919.9,37.43
Litoměřice,Ústecký kraj,CZ,50.5380677,14.145469,45,1784.04,39.65
Louny,Ústecký kraj,CZ,50.3503118,13.8063821,29,1129.42,38.95
Bratislava,"",SK,48.191056,17.1968507,1,54.71,54.71
Hajnáčka,"",SK,48.2234468,19.9402751,1,50.24,50.24
Mošurov,"",SK,49.1198188,21.2471778,1,35.4,35.4
Trávnica,"",SK,48.1391122,18.3365062,1,20.75,20.75
930 40,"",SK,48.1035815,17.355651,1,14.18,14.18
Dolný Harmanec,"",SK,48.8061122,19.0587175,1,29.41,29.41
Jarovnice,"",SK,49.0664963,21.0422517,1,20.79,20.79
Zámutov,"",SK,48.9014667,21.5550218,1,50.46,50.46
Bátka,"",SK,48.3787612,20.1743382,1,39.12,39.12
Závažná Poruba,"",SK,49.0544957,19.6480616,1,27.21,27.21
Záhorská Ves,"",SK,48.3812268,16.8508729,1,12.12,12.12
Dolný Pial,"",SK,48.1369552,18.4588857,1,10.79,10.79
Hostie,"",SK,48.4530731,18.4372996,1,5.79,5.79
Malá Lehota,"",SK,48.4988952,18.5683379,1,10.79,10.79
Borša,"",SK,48.4074925,21.7126701,1,109.06,109.06
Bratislava,"",SK,48.1705847,17.087182,1,74.92,74.92
Liptovská Teplička,"",SK,48.9673193,20.0876733,1,33.28,33.28
Šarovce,"",SK,48.105484,18.633735,1,29.92,29.92
Pravenec,"",SK,48.8476531,18.6447833,1,20.48,20.48
072 32,"",SK,48.8201214,22.0983263,1,84.87,84.87
Sklabiňa,"",SK,49.0462628,19.0059139,1,83.29,83.29
Parchovany,"",SK,48.7469521,21.7108936,1,51.58,51.58
Vranov nad Topľou,"",SK,48.8606365,21.7077869,1,34.92,34.92
Radimov,"",SK,48.751582,17.1984669,1,14.38,14.38
Plavecký Mikuláš,"",SK,48.5208861,17.3148392,1,81.84,81.84
Hradište,"",SK,48.6838985,18.3747579,1,58.95,58.95
Veľká Paka,"",SK,48.0411123,17.4004274,1,50.67,50.67
Rumanová,"",SK,48.3298206,17.8707392,1,40.5,40.5
Kovarce,"",SK,48.4948418,18.1559531,1,99.29,99.29
Rudno nad Hronom,"",SK,48.4248265,18.68766,1,31.33,31.33
Horné Otrokovce,"",SK,48.49179,17.8843518,1,18.96,18.96
Slovenské Nové Mesto,"",SK,48.4062548,21.6714893,1,17.74,17.74
Žehňa,"",SK,48.9070371,21.33207,1,14.12,14.12
Moča,"",SK,47.760662,18.4065616,1,14.08,14.08
Zemplínske Hradište,"",SK,48.579017,21.7351166,1,11.25,11.25
Liptovský Ján,"",SK,49.0416067,19.6766101,1,93.5,93.5
Nový Salaš,"",SK,48.6143057,21.486834,1,35.16,35.16
Proč,"",SK,49.087547,21.3976733,1,19.54,19.54
Hrabovec,"",SK,49.2706732,21.3814832,1,9.87,9.87
Beša,"",SK,48.1446346,18.4043618,1,47.49,47.49
Povina,"",SK,49.3118794,18.8231135,1,24.08,24.08
Bratislava,"",SK,48.223973,17.0378962,1,17.87,17.87
082 15,"",SK,49.0671305,21.4353747,1,8.75,8.75
Ráztočno,"",SK,48.7682951,18.7522426,1,8.08,8.08
Chrastince,"",SK,48.0969117,19.2436038,1,7.46,7.46
Mužla,"",SK,47.7955399,18.5986046,1,43.88,43.88
Častkovce,"",SK,48.6903195,17.782594,1,29.54,29.54
Senné,"",SK,48.3244214,19.3998207,1,24.04,24.04
Svidnička,"",SK,49.3794179,21.5700032,1,20.71,20.71
Dolný Badín,"",SK,48.2573742,19.0659065,1,16.62,16.62
Veľká Ida,"",SK,48.5880272,21.159587,1,16.62,16.62
Blahová,"",SK,48.0891537,17.5442457,1,9.96,9.96
Ľubá,"",SK,47.8407657,18.5967482,1,8.29,8.29
